seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
84,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5899572649572649,"POE25, POE29.C16, POE26..."
89,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.589102564102564,"POE29.C16, POE25, POE26..."
99,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6741452991452992,"POE29.C16, POE26, POE25..."
113,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6301282051282051,"POE29.C16, POE25, POE26..."
182,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5974358974358974,"POE25, POE29.C16, POE26..."
120,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5153846153846153,"POE25, POE26, POE29.C16..."
127,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6072649572649572,"POE25, POE29.C16, POE26..."
133,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5555555555555556,"POE29.C16, POE25, POE26..."
137,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5038461538461538,"POE25, POE29.C16, POE26..."
143,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5737179487179488,"POE25, POE26, POE29.C16..."
38,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6277777777777778,"POE25, POE29.C16, POE26..."
153,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6194444444444444,"POE25, POE29.C16, POE26..."
146,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5848290598290597,"POE25, POE29.C16, POE26..."
1,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5256410256410255,"POE25, POE29.C16, POE26..."
17,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.536965811965812,"POE25, POE26, POE29.C16..."
33,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5506410256410256,"POE25, POE29.C16, POE26..."
19,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5260683760683761,"POE29.C16, POE25, POE26..."
7,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.5982905982905983,"POE29.C16, POE25, POE26..."
29,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.542094017094017,"POE29.C16, POE25, POE26..."
32,XGBoost,0.638722927557879,0.6153846153846154,0.6504854368932039,0.6106837606837606,"POE25, POE26, POE29.C16..."
69,Random Forest,0.6344286781179985,0.5384615384615384,0.7961165048543689,0.6006410256410255,"POE25, POE21, POE26..."
21,Random Forest,0.6314413741598206,0.5,0.8252427184466019,0.6055555555555556,"POE25, POE21, POE26..."
135,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.664957264957265,"POE25, POE26, POE21..."
130,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.6068376068376068,"POE25, POE21, POE26..."
22,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.4931623931623932,"POE25, POE21, POE26..."
